!	EXCLAMATION POINT
NOV.	NOVEMBER
NV	NEVADA
NY	NEW YORK
O.	O
OCT	OCTOBER
OCT.	OCTOBER
OH	OHIO
OK	OKAY
OK	OKLAHOMA
OR	OREGON
OS	OPERATING SYSTEM
P	PEE
P.	PEE
PA	PENNSYLVANIA
PENN	PENNSYLVANIA
PENN.	PENNSYLVANIA
PENNA	PENNSYLVANIA
PP.	PAGES
PROF.	PROF
PROF.	PROFESSOR
Q	CUE
Q.	CUE
R	AR
R.	AR
R.I.	RHODE ISLAND
REP	REPRESENTATIVE
REP.	REPRESENTATIVE
RI	RHODE ISLAND
S	ESS
S.	ESS
S.C.	SOUTH CAROLINA
S.D.	SOUTH DAKOTA
SC	SOUTH CAROLINA
SD	SOUTH DAKOTA
SEP	SEPTEMBER
SEP.	SEPTEMBER
SEPT	SEPTEMBER
SEPT.	SEPTEMBER
SR	SENIOR
SR	SISTER
ST	SAINT
ST	STREET
ST-LOUIS	SAINT LOUIS
ST-PETERSBURG	SAINT PETERSBURG
ST.	SAINT
ST.	STREET
T	TEE
T-BONE	TEE BONE
T-MOBILE	TEE MOBILE
T.	TEE
THU	THURSDAY(1)
THU.	THURSDAY(1)
TN	TENNESSEE
TN.	TENNESSEE
TUE	TUESDAY(1)
TUE.	TUESDAY(1)
TV	TELEVISION
TX	TEXAS
U.	U
US	U ESS
UT	UTAH(1)
V	VEE
V.	VEE
VA	VIRGINIA
VIII	EIGHT
VOL.	VOLUME
VT	VERMONT
W	DOUBLE U
W.	DOUBLE U
WA	WASHINGTON
WED	WEDNESDAY(1)
WED.	WEDNESDAY(1)
WI	WISCONSIN
WI.	WISCONSIN
WM	WILLIAM
WV	WEST VIRGINIA
WY	WYOMING
X	ECKS
X.	ECKS
XBOX	ECKS BOX
XI	ELEVEN
Y	WY
Y.	WY
Z	ZED
Z.	ZED
{	BRACE
{	LEFT BRACE
{	OPEN BRACE
}	CLOSE(2) BRACE
}	RIGHT BRACE
×	TIMES
